"Speaker","Start time","End time","Duration (in sec)","Utterance"
"Speaker 2","0:00","0:08","7.799999999999999","We should have shotguns for this kind of deal. Coming up there three or four. "
"Speaker 1","0:09","0:10","0.9000000000000004","That's down I gotta. "
"Speaker 2","0:11","0:14","2.4000000000000004","Not you so that means it could be."
"Speaker 1","0:14","0:24","10.6","Up to five guys up there spot. We should have fucking shock it. What's your name? Mia Mia out of my cells in her me. I don't."
"Speaker 2","0:24","0:28","4.100000000000001","Know. I have a people meet people seems to be an actress. "
"Speaker 1","0:28","0:30","2.0","Already. She do anything out of see. "
"Speaker 2","0:31","1:09","37.599999999999994","I think a biggest deal was she starred in a pilot pilot was a pilot, you know the shows on TV. I don't watch TV. Yeah, but you are aware that there's an invention called television and on this invention they shows right. Yeah. Well the way they pick TV show They make one show that shows called a pilot then they show that one show to the people who pick shows and on the strength of that one show they decide if they want to make more shows some get chosen and become television program. So I'm don't come nothing. She's starting one of the ones who became nothing you remember Antoine rocket Mora half black half Samoan used to call him Tony Rocky Horror. "
"Speaker 1","1:09","1:11","1.3999999999999915","Yeah, maybe fat right. "
"Speaker 2","1:11","1:15","4.299999999999997","I wouldn't go so far as to call the brother fat. I mean he got away problem wasn't thinking on do you some more? "
"Speaker 1","1:16","1:17","1.7999999999999972","Yeah. I think I do you mean and what about. "
"Speaker 2","1:18","1:44","26.5","Marcellus fucked him up good word around the campfire is was on account of my sellers Wallace's wife. So, what do you do fucking no, nothing that bad give her a foot massage. foot massage That's it. "
"Speaker 1","1:46","1:47","1.2000000000000028","The word more cells to. "
"Speaker 2","1:48","2:06","18.60000000000001","Send a couple cats over to his place. They took him out on his patio through his ass over the balcony nigger fell four stories and little garden down at the bottom clothes and glass like a greenhouse you can fail through that since then he kind of developed a speech impediment. That's a damn shame. "
"Speaker 1","2:12","2:20","7.299999999999983","Still have to say play with matches you get burned. What do you mean you don't be giving myself as well as his new bride a foot massage. "
"Speaker 2","2:20","2:21","1.5999999999999943","You don't think he overreacted. "
"Speaker 1","2:22","2:27","5.5","Well Antoine probably expect myself to react the way he did he had to expect a reaction."
"Speaker 2","2:27","2:30","3.1999999999999886","Was a foot massager foot massages. Nothing to get my motherfuckin. "
"Speaker 1","2:31","2:39","8.199999999999989","It's laying her hands were familiar with myself. His new wife is it's bad as eating her pussy out. No, it's the same. Ball pump."
"Speaker 2","2:39","2:44","4.800000000000011","Whoa, whoa. Whoa stop right there, even a bitch out giving a bit of foot massage. And even the same fucking thing. "
"Speaker 1","2:44","2:48","3.5","It's not it's the same ballpark ain't no fucking ballpark neither. "
"Speaker 2","2:48","2:57","9.099999999999994","Now, look maybe you'll method a massage differs from mine. But you know touching his wife's feet and sticking your tongue in the holiest of holies. Ain't the same fucking ball park and ate the same league. It ain't."
"Speaker 1","2:57","2:58","0.6999999999999886","Even the same fucking."
"Speaker 2","2:58","3:00","2.5","Sport. But foot massages don't mean shit. "
"Speaker 1","3:01","3:02","1.4000000000000057","Have you ever given a foot massage? "
"Speaker 2","3:04","3:07","3.700000000000017","Don't be telling me about foot massages. I'm the foot fucking Master you giving."
"Speaker 1","3:07","3:08","1.0010000000000048","A lot of them shit. Yeah. "
"Speaker 2","3:09","3:11","2.5999999999999943","Got my technique down and everything. I don't be tickling or nothing. "
"Speaker 1","3:12","3:25","12.5","Would you give a guy a foot massage? Fuck you, fuck you, you know I'm kind of tired I can use a foot massage myself. Yo, yo."
"Speaker 2","3:25","3:35","10.5","Man, you best back off. I'm getting a little pissed to you. This is the door it is. time you got. "
"Speaker 1","3:37","3:38","1.6000000000000227","7:22."
"Speaker 2","3:38","4:03","24.799999999999983","A.m. And quite Tamia. Come on, let's hang back. Look just because I wouldn't get on man a foot massage. Don't make it right for myself to throw Antoine off a building into a glass motherfucking house fucking up the way the nigger talks. That shit ain't right motherfucker do that shit to me. He better paralyzed my ass because I killed him a fucking you know what I'm saying?"
"Speaker 1","4:03","4:31","28.200000000000017","I ain't saying it's right but you say in a foot massage don't mean nothing I'm saying it does not look I given a million ladies a million foot massages and they all meant something we act like they don't but they do and that's what's so fucking cool about this is sensuous thing going on where where you know, you don't talk about it, but you know where she knows it fucking Marcellus knew it and Antoine should have fucking better known better. I mean that's just fucking wife man. They say no sense of humor about the shit. You know I'm saying. "
"Speaker 2","4:33","4:37","3.5","It's an interesting point. Come on, let's get in character."
