"Speaker","Start time","End time","Duration (in sec)","Utterance"
"Speaker 4","0:11","0:17","6.9862499999999965","Okay. Gut okay also hat den PDF Export gemacht und was noch. "
"Speaker 5","0:20","1:38","77.7583125","Äh wir henno dass äh Word Cloud das haben aber noch nich jeder apine. Das ist einfach mal so Test wies gebe die Word Cloud mit äh äh farblichen ab stimmig. Das eigentlich. Alli grüne such lädt das die neue Wörter sind wo im. Äh nach Sticks Block 1 der Suche mit also mich an die Stelle wieviel Minuten sind Xbox erziehen okay hab ich jetzt einfach mal 5 Minuten Knopf und der Kali ähm. Die 5 Minuten du da eigentlich zämme. Als Text. Äh ne und dann wird die Welt Analyse unter Teck Spruch verglichen mit dem nächste textblock und so haben wir eigentlich den ähm. Äh also durch die farbliche Abstimmung sehr gewähltes Wort oder welche Wörter sind der wo jetzt viel gebucht werden Willi Wörter sind jetzt User kite. Und. Ja jetzt hab ich einmal eigentlich da ähm. Für jede textblock ein einziges Einzel spielt. "
"Speaker 4","1:39","1:41","1.7111250000000098","Will was heißt Frau. "
"Speaker 5","1:41","3:35","114.09328124999999","Grau ich eigentlich dass es ähm im letzten Text Spruch schon Fach euch und jetzt eigentlich bin ich im neue a ihr sind hier wo neue zu hoch sind. Aber rot wär eigentlich die wo sich keit sind aber die Zeit natürlich nicht da will ich dann nur der Output vom neue textblock da müssen wir den Wien oder an der Text kriegen wir auch noch Ich bin damit. Und ja also wie gesagt einfach dauert das äh zum Beispiel people es geht eigentlich nur noch relativ Süßigkeiten. Äh wie gesagt einfach das people Minuten fahre ich aber dem textblock hä ähm viel ausgesprochen worden ist. Und das zieht sich eigentlich äh du dort du die nächste und da das d ich jetzt ähm. Äh eigentlich eine wo sich keit wird aber sicherlich komisch dass der jetzt im neu Auer zeigt wird das ist noch das ist aber der einzige glaub. Und dann haben wir eigentlich für jede Text Spruch oder für Jede 5 Minuten vom Gespräche besonders eine Word Cloud mit äh verbliebene Wörter und der neue. Und Wir sind uns noch nicht ganz sicher Übersetzer tätig bin und wie das muss jetzt nur wieder verfolge. Y haupten Mehrwert hat somit das. Zum jetzt äh überall dir Word Cloud H oder die Word Platz Reinartz Lüge. Das ist sicher leid bis wo is mein ist überlege aber sei zum Teil wirklich also. No relativ aufschlussreiche outputs. Aber das Maxi das äh kleine zum Beispiel da Fracking. "
"Speaker 4","3:38","3:47","9.25","Auf den davor gehen würdest dann wäre der Fracking. In in grün oder grau richtig. Mhm wenn wir. "
"Speaker 5","3:47","4:16","28.98178125000004","Aber es wenn es war nur einmal brauch ich vielleicht gerne diese Word claudine vorher willst natürlich auch sind jetzt glaube ich Also 15 Wörter limitiert das sind eigentlich die 15 Mai Spruch der Wörter. Wo vorher mit und Tracking schon mal benutzt wurde im vorherige Text aber sie ja genau es wird nicht anzeigt wenn es halt nicht so häufig gebucht werden darum sind sie das dass ich es gar nicht Rede? Vorherige Word Cloud. "
"Speaker 1","4:20","5:23","62.76059375","Genau. Ich finde äh irgendwie in das is cool äh ähm das Problem Ich bin auch Darstellung ist noch nicht optimal der äh. So und bin ich nicht gut verdaubar ähm aber äh Ich denke dass äh normale Liste oder der Ball oder so jetzt neue übersichtlich. Ähm äh und mein Problem mit dem das Wort scho angezeigt wird er. Dann verfolgt Logik von dem ganz also wenn du halt nur 15 aber fragt er irgendwie. Vorab bevor man das jemand bist du Grad äh ich muss Hochdeutsch sprechen weil das ja transferieren. "
"Speaker 4","5:23","5:29","5.800000000000011","Ne der schneller voran. "
"Speaker 1","5:29","5:31","1.7900000000000205","Äh. "
"Speaker 4","5:31","5:32","1.170000000000016","Äh. "
"Speaker 1","5:32","6:18","46.227843750000034","Äh was ich sagen wollte ist dann vielleicht kann man ja schon vor im also ein einmal durch den Text durchgehen das ist doppelt schmeißt ja wahrscheinlich raus. Und dann äh schauen was sind überhaupt insgesamt die wichtigen Wörter auch immer und dann kann man ja wenn das erste Mal Fracking vorkommt dann weiß man schon das ist ein Wort das wichtig ist füRFüRFür den. Schau mal so für den Text. Bekommen sie dort schon äh quasi äh in die Liste nehmen weil man weiß das ist ein wichtiges Wort insgesamt wird es kommt dann später nochmal also so vokabel Larry äh Sound macht über den ganzen Text bevor man. Dann diese segmentweise Auswahl der Keywords macht. "
"Speaker 4","6:20","6:47","26.756999999999948","Zum Beispiel ich finde auch das ist das hat extremes Potential Word Clouds Hermanns ähm. Wenn man irgendwie so macht dass es hilfreich ist für den User und da gibt es 2 Aspekte das eine ist die Auswahl also welches sind die wichtigen Wörter. Ähm jetzt glaub ich einfach ein wordcount gemacht oder also ich glaub du wirst rausgeschmissen wordcount auf den segmenten. "
"Speaker 5","6:47","7:04","16.50846875000002","Nehm ich an es ist eine Word Cloud Funktion und ja die zählt einfach die die Wörter. Ja genau so seh kreiert eigentlich schon das ganze Bild Ich habe einfach noch ein paar Parameter also Wir haben einfach paar Parameter eingestellt welche Farbe diese Wörter haben. "
"Speaker 4","7:04","11:19","255.63984375000007","Sind ja jetzt seine Workout sind ja 2 verschiedene Dinge. Das eine ist du fehlst aus deinem Text aus welche Wörter erscheinen sollen. Ähm gibt's quasi für jedes Wort irgendein Score an. Den kann man selber berechnen um jetzt hier einfach ne fertige Funktion genommen die hat einfach gezählt wie häufig kommt das Wort vor und das zweite ist wie wird visualisiert also das ist ja getrennt voneinander. Das einzige was man hier irgendwie jetzt höRFür die Berechnung des Bildes braucht ist die ins Korb pro Wort und dann wird es mir relativ gerechnet und dann entsprechende Größe bestimmt. Was man jetzt machen könnte wäre in 2 Richtungen weitergehen das eine ist? Die Auswahl welches sind die hilfreichen wichtigen Wörter kann jetzt das machen wir dann gesagt hat man irgendwie über den gesamten Text die die wichtigsten oder man macht irgendwie so tief IDF Kurs oder macht irgendwie pro pro Segment irgendwelche schlauen Sachen. Kann auch topic modeling machen was auch immer also kann da ganz verschiedene Dinge tun. Das zweite ist wie visualisiert man das. Und. So ein bisschen die Frage Wie kann man eigentlich dem User zeigen wie der Verlauf ist jetzt könnte man ich finde deinen Vorschlag nicht so optimal dort einfach ne Tabelle untereinander es ist äh. Vielleicht funktional aber nicht sexy ähm wenn ich jetzt etwas wo man. Quasi visuell sich durch navigieren kann. Viel spannender. Ähm. Sag mal dass das einfach was man sich vorstellen könnte wäre wenn jetzt all diese Bilder quasi auf der zeitleiste legt und ich hab so eins leider und kann dann von links nach rechts gehen. D dann jeweils das Bild. Ich kann irgendwie ablaufen lassen seh ich so die Bilder nacheinander und dann Krieg ich gerade mit ähm also kann das einfachste ich Pack alle Bilder untereinander und kann sie mir angucken. Er er. E wir dann die nächste Version wäre ich neben. Ein Sohn View und ich hab hier unten drunter unter China hab ich so ein rechts links Button und kann mich durch die Bilder durch klicken und sie dann jeweils was sich geändert hat also müssten überlegen was hier anzeigt. Bin nicht sicher ob man die Wörter sehen muss die verschwinden sondern die Wörter die neu dazukommen finde ich halt viel spannender dann weiß ich halt worum es neu gegangen ist. Das andere ist ein bisschen redundante Information. Und. Das dritte was ich persönlich jetzt eigentlich Mega cool fände wäre hier berechnet diese Word Clouds für jedes Segment das gibt uns euch hinterher quasi das Vokabular was vorkommt in der Word Cloud. Und dann. Macht ihr ein. Ein Bild was animiert ist. Und man kann quasi dann sehen wie die Bedeutung von einem Wort zu und wieder abnimmt aufgrund von der Größe von dem Wort. Ähm. jetzt jetzt muss man dann immer also ich stell mir wirklich hart Film vor der automatisch generiert wird wo das Wort Job was hier oben ist da steht immer am gleichen Ort. Und abhängig davon wie hoch der Score ist jetzt größer oder kleiner repräsentiert. Das heißt wenn ich diesen Film ablaufen lasse ist der ersten großer schwarzer Fleck und dann kommt das Wort irgendwann mal kurz vor wieder nicht dann wird es irgendwann kommt raus und geht wieder Weg wenn es dann häufig ist dann kommt halt raus und bleibt auch gleich groß und verschwindet. Ja ja. Nicht so auf den Play Button Dr.ücke dann läuft irgendwie in in 30 Sekunden dieses Video ab und ich seh welche Themen angesprochen wurden. Dadurch das vorstellen. "
"Speaker 3","11:21","11:38","17.612281250000024","Wäre denn das sind in Abhängigkeit zur Zeit also dass man dann immer noch irgendwie sein Time Bauer hätte wo man den Ablauf des transkripts seht und dann wenn man jetzt zum Beispiel diesen kurzen Film stoppen würde dass man dann auch genau sehen würde Wo ist man überhaupt. "
"Speaker 4","11:38","12:35","56.40221875000009","Genau okay. Also wie wir das dann genau ist ob man das wirklich als Word Cloud darstellt oder ob man sowie der dann sagt das in der Tabelle macht und dann werden die Wörter halt nach und nach größer und kleiner viel das mächtig. Weiß nicht ob das funktioniert weil man braucht eine relativ große Cloud. Ähm wo man genug Platz hat all diese Wörter anzuzeigen. Ähm man könnte sich auch vorstellen dass man das in der ersten Version nicht als so eine schöne angeordnete Cloud macht sondern macht irgendwie so ein. Viel eicht Versuch das mal eben profitieren darf ich den Bildschirm einmal teilen. Ja ja. Am. Whiteboard. "
"Speaker 1","12:36","12:38","2.1282812499999864","Also ich glaub ich Ich bin Ich. "
"Speaker 4","12:38","12:39","0.9399999999999409","Bin es cool. "
"Speaker 3","12:39","12:40","1.1099999999999","Wie du sagst sexy. "
"Speaker 1","12:41","12:42","1.07000000000005","Aber vielleicht. "
"Speaker 3","12:42","12:43","1.5199999999999818","So als kunstprojekt. "
"Speaker 4","12:44","12:50","5.139999999999986","Gerlicher also überhaupt nicht so schwierig ja ich Ich. "
"Speaker 1","12:50","12:56","6.340000000000032","Glaube also ja okay also ich glaub ich ähm. Die Frage ist halt einfach was ich dann der use Case irgendwie oder. "
"Speaker 4","12:56","12:57","1.580000000000041","Also use Case. "
"Speaker 1","12:58","12:58","0.7100000000000364","Aber schaut sich. "
"Speaker 4","12:58","13:04","5.850000000000023","Das in 30 Sekunden Überblick welche Themen besprochen worden. Und wann. "
"Speaker 1","13:05","13:08","2.9599999999999227","Wir hier geht es um die zeitliche Komponente genau. "
"Speaker 4","13:08","13:60","52.05834375000006","Ja genau. Das hab ich bis jetzt noch nie gehabt irgendwo also bis jetzt musst du irgendwie so äh die Keywords die ausgeben lassen dann von oben nach unten runterscrollen oder so und das ist einfach nicht nicht intuitiv. Also ich sag mal was man was man am einfachsten machen könnte jetzt. Sag mal den technischen Mitteln die ihr habt ihr seid ja keine kunststudenten da gebe ich den Dorn recht ist macht so eine riesige Tabelle. Und jedes Wort. Kriegt also jedes Wort von denen die hier als wichtig erachtet ne jetzt Irgendwie 16 Äh es könnte noch nie 50 sein und jedes Wort kriegt so ein Bubble hier ist halt der Bubble für das Wort. Jop. Und dann hab ich hier den Times leider. "
"Speaker 5","14:02","14:06","3.9976874999999836","Kannst du noch ein bisschen runter scrollen. Bisher nur die. "
"Speaker 2","14:07","14:08","1.098218750000001","Aber ich glaub das Rauschen. "
"Speaker 4","14:09","14:14","5.428093750000016","Over glaub ich ah okay das. "
"Speaker 5","14:14","14:17","2.8265625000000227","Sein okay Nein das hab ich gesehen. "
"Speaker 4","14:17","15:08","51.14137500000004","Okay. Und jetzt hab ich diesen Times leider und wenn ich hier stehe ähm. Dann ist das Wort Job irgendwie ganz klein. Alles unwichtig wahr. Und wenn ich dann hier hin gehe da ist das Wort irgendwie in dem Segment extrem häufig dann wird das halt irgendwie so riesig angezeigt. Das ist sozusagen der Word Cloud einfach mal in einfachen Raster und ihr müsst nur hab ich von Zeit segmenten die Größe von der Wort Darstellung ändern. Hab ich das vorstellen. Wenn ich hier von ple Button hab noch. Da drauf klicken und dann geht das immer so in 30 Sekunden dadurch dann seh ich was wann besprochen wurde. "
"Speaker 3","15:12","15:39","27.315562500000055","Ähm vielleicht aus als aus deiner Erfahrung was wäre einfacher zu implementieren effektiv ein ein Video oder interactiv wo man dann zum Beispiel. Mit Klick einfach den den Time bar anklicken kann und dann hat man so ein Schieber könnte man durchfahren und die Wörter verändern sich dann interaktiv oder ist es doch einfacher das als als als Video. Anzuzeigen. "
"Speaker 4","15:40","17:26","105.50756250000006","Also Ich glaube dass man da jetzt nicht ein Video draus machen würde sondern dass man das eher mit CSS macht. Ähm dass man einfach also sag mal dass wir jetzt die die einfachste Variante die ich mir vorstellen kann die interaktiv ist ähm und für jeden Time stamp den du hier hast viell berechnest du quasi vor welches Kurs haben die entsprechenden Wörter. Also an dem Score Leben hat jetzt das Wort Job. Äh bei dem ersten hat irgendwie ins Tor 3 hier hat den Chor 17 hinterlegst einfach wie groß ein Wort dargestellt wird abhängig von dem Score dass du hast da unten irgendwie weiß ich nicht. Sehen Oder 30 Sekunden Segmente und dann weißt du für jedes Wort den Chor und fiel dann also ich sag mal die die unschöne Variante ist springt halt einfach von der Größe her. Die schöne Variante ist du machst mit CSS Animation die von Größe 3 auf Größe 17 vergrößert das kann man relativ einfach. Soso Animation von Text größer kleiner machen das machst du quasi unabhängig für jedes Wort in dem in dem Raster und siehst dann quasi immer was was hoch und runter kommen dann kannst du sogar noch die Farbe ändern. Das heißt wenn der Sport Job von kleiner groß wird. Am. So Ach so. Ähm machst irgendwie grün dann sieht man dass es Dazu kommt und wenn es viel abnehmen ist der machst irgendwie in grau oder so dann weiß man das geht irgendwie Weg dann hat man so ein bisschen da kann man ein bisschen mitspielen. "
"Speaker 3","17:28","17:45","16.269187500000044","Die Wörter wären aber schon vordefiniert also man würde zuerst durch den gesamten Text gehen und dann je nachdem wie lange der Text Sich 10 20 30 Wörter raussuchen und dann werden es immer diese diese gleichen Wörter über. Die ganze Timeline eigentlich. "
"Speaker 4","17:47","18:38","51.204968750000035","Ja das kann man sich natürlich überlegen ob man das schlauer macht man wenn Wörter nur am Anfang vorkommen hinter nicht mehr dann hast du quasi also jetzt sind wir im Detail wie macht man das aber. Jetzt Sport Job nur in in dem Bereich hier vorkommt wirklich danach nie mehr und dann gibt es ein anderes Wort was du hier hinten vorkommt wenn es nicht klar warum man eigentlich die entsprechenden Bubble freihalten sollte. Also dann könnte man auch sagen macht jetzt irgendwie diesen diesen Bubble hier für den mittleren Bereich für Job und dann wenn da hinten irgendwie Karies oder so. Dann nimmt man halt in die gleichen tabelleneintrag die gleiche Zelle für das Wort Car das ist ja nicht schlimm wenn es nicht erlaubt. "
"Speaker 1","18:39","18:51","11.870281249999834","Aber dann siehst du ja nicht mehr welche Wörter sie überhaupt gibt. Also wenn vielleicht willst du ja dann auch auf das Wort klicken können um 10 in welchen segmenten unten in der teimlein dass es vorkommt. "
"Speaker 4","18:52","18:53","0.5695312499997272","Das stimmt. "
"Speaker 1","18:53","19:04","11.590000000000146","Ja also vielleicht hören wir uns einfach so machen dass die die Wörter wirklich extrem klein sind die nicht vorkommen oder sowas. Wahrscheinlich gegen Verein tun. "
"Speaker 4","19:06","19:45","38.81840624999995","Das ist jetzt irgendwie so mit der Tabelle ist das einfachste du könntest auch Weg von Word Cloud machen die sich immer dynamisch dann verschiebt oder so ähm. Ja man könnte auch sagen du zeigst immer alle Wörter an die werden halt größer und kleiner je nachdem. Die Relevanz gesehen du hast ja auch den ganzen Bildschirm zur Verfügung also. Sag mal wenn du jetzt wirklich das Full Screen machst. Kriegst du auch Locker 100 Wörter eben also du hast eine Stunde Audio tendenziell haben wir jetzt schade wenn. Wenn du dich da irgendwie auf 20 Wörter oder so beschränken müsstest. "
"Speaker 1","19:47","19:58","11.069031249999853","Ja ja das kann ja ein Parameter sein wieviel wird er oder sowas bestimmen oder keine Ahnung dann der. "
