"Speaker","Start time","End time","Duration (in sec)","Utterance"
"Speaker 1","0:00","0:03","2.5","Hi Chris, our Haiku Johnson's nice to meet."
"Speaker 2","0:03","0:04","1.0","You. Nice to meet you Kate. "
"Speaker 1","0:05","0:07","2.4000000000000004","Chris. Please tell me a little bit about yourself."
"Speaker 2","0:07","0:18","11.2","I'm currently finishing my masters of education program at Lake Erie College and working on transitioning from a northeastern Ohio inner to being a member of the Jacksonville area Community."
"Speaker 1","0:18","0:21","2.5","Why the move. "
"Speaker 2","0:21","0:25","4.300000000000001","Well, my wife's job is moving down south and I'm coming along with her. "
"Speaker 1","0:25","0:35","9.300000000000004","It's very Noble and my admirer beloved about you at the same time. How did you hear about the position open with our company here at REI? Well, when I thought."
"Speaker 2","0:35","1:10","35.099999999999994","About the opportunity of changing locations and moving from one physical location to another I thought about making a career move as well and I was starting with my main interests and passions and I love being outside. I love doing outdoor activities and I love working with people and I thought if I could use my experience as a teacher helping people and my interest in the outdoors together. It would be a good place to start a new career. And when I was looking online, I found re eyes website and that there were positions available in the Jacksonville area. So I thought I would apply great. "
"Speaker 1","1:10","1:20","9.900000000000006","Well, you say you have an interest in outdoor activities. So this would be a great company for you to work at that being said what else do you know about our company? "
"Speaker 2","1:20","1:48","27.599999999999994","Well, I know you've been around for a long time since the late 1930s and what really caught my attention the most was the idea that it was started by people who had a passion for the outdoors. And found a way to involve others in their experience. I like the idea too that your company is consistently ranked among the top 100 companies to work for by Fortune Magazine, and I thought growing with a company that has that level of success would be a good place to be great. "
"Speaker 1","1:51","1:56","5.6000000000000085","Why why do you want this particular position here with on within our customer service department? "
"Speaker 2","1:57","2:20","23.200000000000017","Because I want to start in a position that allows me to learn everything about the company from the very basic level of interacting with the customers all the way up throughout the sales process the marketing process and the production of goods and services when I saw the opportunity for customer service, I thought of the line very well with the skill set that I have and also with some skills that I could bring to the company that might be unique. "
"Speaker 1","2:20","2:26","5.599999999999994","You tell me a little bit more about these skills that you would transfer from your previous line of work to our department here. "
"Speaker 2","2:26","2:43","16.80000000000001","Sure in education. It's all about making the customer or student feel comfortable and helping them grow. I feel that within a company like REI. It's the same philosophy getting a customer comfortable with the product and helping them grow as they advance in whatever sport they happen to be participating in. "
"Speaker 1","2:45","2:52","7.0","Why do you think that our company should hire you specifically amongst our pool of Candidates that are interviewing for this position. "
"Speaker 2","2:53","3:22","29.19999999999999","Sure, I think one skill set that I have involves my background in education teachers are among the highest stressed Professionals in the workplace and REI offers a number of products that help alleviate stress by getting people outdoors and teachers also have a lot of downtime in the Summers. My thinking is that once I learn the ropes and Advance within the company, I'll be able to market the services and products that are I offers specifically to the teaching. Profession great. "
"Speaker 1","3:24","3:51","27.19999999999999","I have to ask this question given that you are making a career change here, especially with finishing a master's degree in education. If a position becomes available in your current field down here in the Jacksonville area. How do you approach being offered this job versus being offered a position in your field and I'm asking that in the now and Future. "
"Speaker 2","3:51","4:28","37.20000000000002","Sure. That's a great question. I'm not pursuing further educational opportunities within that profession. I feel like this customer service opportunity the chance to work in a field that I enjoy as much as teaching is a place that I could grow into long-term. So what I get out of teaching is working with people and helping people become a little bit better than they were when I first met them and that skill translates very well into our apis mission and so I Don't anticipate leaving a successful career for something. I've already done. I feel like this is a natural Confluence of my to interests. "
"Speaker 1","4:32","4:38","5.399999999999977","Chris. What would you identify as your greatest professional strengths? "
"Speaker 2","4:40","4:53","13.5","I think patients is probably my greatest strength that translates across the careers being able to listen to a student or customers difficulty and help them overcome that Quality with patience and compassion is my greatest strength. "
"Speaker 1","4:54","4:59","5.199999999999989","Would you consider any weaknesses that you have to be detrimental to the job? "
"Speaker 2","5:00","5:30","30.19999999999999","I think there's a risk when it comes to compassion. I think people can misinterpret compassion as being easy or willing to roll over when it's important to understand that compassion is something that is earned and it's interactive and I feel like if I establish clear boundaries He's with customers clients students. They understand that I am understanding. I am patient. I am kind yet. I'm also going to hold the people I interact with to a high standard. "
"Speaker 1","5:32","5:36","4.100000000000023","To date. What would you say is your greatest professional achievement? "
"Speaker 2","5:38","5:52","14.5","Personally becoming a teacher earning a master's degree. Those have all been wonderful experiences for me. But the greatest achievement would have to be working with young people and helping them get a little bit better at communicating with the world around them. "
"Speaker 1","5:57","6:04","6.899999999999977","Chris can you tell me about a challenge or conflict that you faced in the workplace and how you would deal with it? Sure. "
"Speaker 2","6:04","6:46","41.80000000000001","Within the education profession. There are challenges every day. You're dealing with hundreds of different hundreds of different personalities and interests and levels of enthusiasm. So being able to engage students with content and enriching way is part of overcoming a conflict or difficulty. I think building professional relationships is another way to deal with conflicts understanding where people come from Prior to teaching I was involved with a photography company photographing events, like weddings and bar mitzvahs and very very important events in people's lives and a lot of times conflicts that arise. So again, just like in teaching overcoming those conflicts with with patients and listening to the client or customers needs is very important. "
"Speaker 1","6:47","7:06","19.19999999999999","Now you are interviewing for a position that is not an entry level position and there is the possibility that those in our company that were overlooked for this position may have some animosity regarding the new hire for this position. So how do you approach this potential challenge here at the workplace? "
"Speaker 2","7:06","7:30","23.899999999999977","The important thing is to listen to the people around me and understand that I am a newcomer and that they know more about the work environment then I will coming in. I think because I have a friendly demeanor and I'm not confrontational when meeting new people that in time will have a chance to earn each other's mutual respect and understand that we both want the same thing the company to grow and us to grow within the company. "
"Speaker 1","7:32","7:36","4.0","Where do you see yourself in five years, specifically he within our company. "
"Speaker 2","7:36","7:46","9.799999999999955","Hopefully I'll be able to develop a market that allows me to interact with people within the teaching profession and and grow our brand using that market as a Target client base. It's great. "
"Speaker 1","7:51","7:57","6.5","Are you interviewing currently with any other companies and if so what interests you about those particular companies as well. "
"Speaker 2","7:58","8:16","18.30000000000001","Since I'm new to the area. I haven't had the opportunity to interview with a wide variety of companies. I have looked at Bass Pro Shops and I'm currently scheduled to interview with them. They have a similar Mission and similar goals to REI. It's just that their product line is more specifically tailored than re is more diverse offerings. "
"Speaker 1","8:19","8:45","26.099999999999966","We here at REI, you know, it is being in customer service. There are aspects of your job that are going to be a little less active than I could expect you being in a teaching position where I assume you're on your feet more one-on-one face-to-face with individuals. Do you prefer a specific type of work environment? Do you thrive in a variety of work environments? And what does this look like? "
"Speaker 2","8:46","9:15","29.100000000000023","Well, I thrive in Variety of work environments I wouldn't expect to be sitting in a cubicle interacting with customers unless I'm handling a phone call and that's fine. That's part of the job. But what I would expect is to be actively engaged with the customers who come into the store and helping show them the products that might best suit their needs and introducing them to products that they might not have considered before. So what I've expected to be up moving around and being consistently engaged with a customer or trying to find ways to improve what we offer to our customers. "
"Speaker 1","9:16","9:26","9.600000000000023","Can you describe a time for me ever that you may have disagreed on a decision that was made for you and staff members at work. And how did you deal with this? "
"Speaker 2","9:26","9:56","29.699999999999932","Sure within the field of Education. There are new initiatives being rolled out all the time. And sometimes those initiatives get mandated you have to teach this way this many times a week and when something like that happens, I think it's important to go back to what you know about your profession or your skill set and be able to provide research that supports why you do what you do. And I think when faced with a difficulty again, it's important to do what the boss says and it's an important to also advocate for what might be best for the customer or student. "
"Speaker 1","9:60","10:12","12.699999999999932","All right, we're going to move on to some cognitive behavioral questions. And basically these questions are designed. They're not necessarily about your past your experience. There are sort of out of the box."
"Speaker 2","10:12","10:13","1.1000000000000227","Questions. And."
"Speaker 1","10:13","10:21","7.7000000000000455","So just do your best at answering them as her go through this. So if you were an animal, what would you be and why? "
"Speaker 2","10:23","10:45","22.200000000000045","Tough question, I think. Considering the the traits of my dog if I had to be an animal I would certainly want to be a domesticated dog. They just have that ability to love unconditionally, they're intensely loyal and they just provide so many benefits to people something. I'd like to do in my life as a human to Great. "
