"Speaker","Start time","End time","Duration (in sec)","Utterance"
"Speaker 1","0:00","0:58","57.699999999999996","I'm Susan page of USA Today it is my honor to moderate this debate an important part of our democracy in Kingsbury Hall tonight we have a small and socially distant audience and we've taken extra precautions during this pandemic among other things everyone in the audience is required to wear a face mask and the candidates will be seated 12 feet apart the audience is enthusiastic about their candidates, but they've agreed to express that enthusiasm only twice at the end of the debate and now when I introduce the candidates, please welcome, California, Senator Kamala Harris and vice president Mike Pence. Thank."
"Speaker 3","0:58","2:15","77.1","You. Senator Harris and vice president Pence. Thank you for being here. We're meeting as President Trump and the first lady continue to undergo treatment in Washington after testing positive for covid-19. We send our thoughts and prayers to them for their rapid and complete recovery and for the recovery of everyone afflicted by the Coronavirus. The two campaigns in the commission on presidential debates have agreed to the ground rules for tonight. I'm here to enforce them on behalf of the millions of Americans who are watching One Note no one in either campaign or at the commission or anywhere else has been told in advance what topics all raised or what questions I'll ask. This 90-minute debate will be divided into nine segments of about ten minutes each. I'll begin a segment by posing a question to each of you. Sometimes the same question. Sometimes a different question on the same topic you will then have two minutes to answer without interruption by me or the other candidate then we'll take six minutes or so to discuss the issue at that point. Although there will always be more to say. "
"Speaker 1","2:15","2:16","0.8000000000000114","We'll move on."
"Speaker 3","2:16","3:18","62.5","To the next topic. We want a debate that is Lively but Americans also deserve a discussion that is civil. These are tumultuous times, but we can and will have a respectful exchange about the big issues facing our nation. Let's begin with the ongoing pandemic that has cost our country so much. Senator Harris, the coronavirus is not under control over the past week Johns Hopkins reports that 39 states have had more covid cases over the past seven days than in the week before nine states have set new records, even if a vaccine is released soon. The next Administration will face hard choices, what would abide and administration due in January and February that a trump Administration wouldn't do would you impose new lockdowns for? Businesses in schools and hotspots a federal mandate to wear masks. You have two minutes to respond without interruption. Thank you Susan. "
"Speaker 1","3:20","5:25","125.39999999999998","Well the American people have witnessed. What is the greatest failure of any presidential Administration in history of our country? And here are the facts. 210,000 dead people in our country and just the last several months. Over 7 million people who have contracted this disease one in five businesses closed. We're looking at Frontline workers who have been treated like sacrificial workers. We are looking at over 30 million people. In the last several months had to file for unemployment and here's the thing. on January 28th the vice president and the president were informed about the nature of this pandemic. They were informed that it's lethal in consequence that it is Airborne that it will affect young people and that it would be contracted because it is Airborne. And they knew what was happening and they didn't tell you. Can you imagine if you knew on January 28th as opposed to March 13th, what they knew what you might have done to prepare they knew and they covered it up. The president said it was a hoax. They minimize the seriousness of it. The president said you're on one side of his Ledger if you wear a mask you're on the other side of his Ledger if you don't And in spite of all of that today, they still don't have a plan. They still don't have a plan. Will Joe Biden does and our plan is about what we need to do around a national strategy for contact tracing for testing for administration of the vaccine and making sure that it will be free for all that is the plan that Joe Biden has and that I have knowing that we have to get ahold of what has been going on and we need to save our country and Joe Biden. Is the best leader to do that and frankly this Administration has forfeited. Thank you Sarah right to re-election based on this."
"Speaker 3","5:25","5:60","34.80000000000001","Thank you, Senator Harris vice president Pence more than 210,000 Americans have died of covid-19 since February the u.s. Death toll as a percentage of our population is higher than that of almost every other wealthy Nation on Earth. For instance. Our death rate is two and a half times that of Canada next door. You had the administration's coronavirus task force. Why is the US death toll as a percentage of our population higher than that of almost every other wealthy country and you have 2 minutes to respond without interruption. "
"Speaker 2","5:60","8:12","132.7","This isn't thank you. And I want to thank the commission and the University of Utah for hosting this event and Senator Harris. It's a privilege to be on the stage with you. In our nation has gone through a very challenging time this year. But I want the American people to know that from the very first day President. Donald Trump has put the health of America first. Before there were more than five cases in the United States all people who had returned from China President. Donald Trump did what no other American president had ever done. That was he suspended all travel from China the second largest economy in the world. Now Senator Joe Biden Biden opposed that decision. He said it was Zena phobic and hysterical, but I can tell you having led the White House coronavirus Task Force at that decision. Alone by President Trump bought us invaluable time to stand up the greatest National mobilization since World War Two and I believe it saved hundreds of thousands of American lives because with that time we were able to reinvent testing more than a hundred fifteen million tests have been done to date we were able to see to the delivery of billions of supplies. So our doctors and nurses had the resources support they needed and we began really before the month of February was Art to develop a vaccine and to develop medicines. And Therapeutics have been saving lives all along the way and under President Trump's leadership operation warp-speed We Believe will have literally tens of millions of doses of vaccine before the end of this year. The reality is when you look at the Biden plan, it reads an awful lot like what President Trump and I and our task force have been doing every step of the way and quite frankly when I look at their plan that talks about advancing testing creating new PPE developing a vaccine. It looks a little bit like plagiarism which is something Joe Biden knows a little bit about I think the American people know that this is a president who has put America first in the American people. I believe with my heart can be proud of the sacrifices. They have made its saved countless American lives. "
"Speaker 3","8:13","8:15","2.0","Senator Harris would like to respond."
"Speaker 1","8:15","9:02","46.30000000000001","Absolutely whatever the vice president is claiming. The Administration has done clearly. It hasn't worked. When you're looking at over 210,000 dead bodies in our country American lives that have been lost families that are grieving that loss and you know, the vice president is the head of the task force. And new on January 28th how serious this was and then big thanks to Bob Woodward. We learned that they knew about it. And then when that was exposed the vice president said when I asked well, why didn't y'all tell anybody he said because the president wanted people to remain calm. Well, let's go I have enough but this isn't right. This isn't right and I want to add mr. Vice president."
"Speaker 2","9:02","9:03","1.6000000000000227","Speaking. I have I'm speaking. "
