,0,1,2,3
net,0.0,0.00043430274471174514,0.0,0.0
stichworten,0.00021403340452677018,0.0,0.0,0.0
dedizierte,0.0,0.0,0.0,0.00034963287796214136
any,0.0,0.00043430274471174514,0.0,0.0
drücke,0.0,0.0,0.0003365609034037122,0.0
informationsgehalt,0.0,0.0,0.0,0.00034963287796214136
betreuer,0.00021403340452677018,0.0,0.0,0.0
blödes,0.0,0.00043430274471174514,0.0,0.0
settings,0.0,0.0,0.0,0.00034963287796214136
machst,0.0,0.00021715137235587257,0.0008414022585092805,0.0
schriftgrößen,0.0,0.0,0.0,0.00034963287796214136
einem,0.0,0.0,0.0,0.0
jemanden,0.0,0.00043430274471174514,0.0,0.0
jahren,0.00021403340452677018,0.0,0.0,0.0
dritter,0.0,0.0,0.0003365609034037122,0.0
archiviert,0.00021403340452677018,0.0,0.0,0.0
mal,0.0,0.0,0.0,0.0
trump,0.00042806680905354037,0.0,0.0,0.0
nwt,0.00021403340452677018,0.0,0.0,0.0
richtige,0.0,0.00021715137235587257,0.0,0.00017481643898107068
könnten,0.00013324783346539178,9.012596254755038e-05,0.0,0.00029022151067014464
praktikabel,0.00021403340452677018,0.0,0.0,0.0
gespielt,0.00021403340452677018,0.0,0.0,0.0
durchgegangen,0.00021403340452677018,0.0,0.0,0.0
gekündigt,0.00021403340452677018,0.0,0.0,0.0
süßigkeiten,0.0,0.0,0.0003365609034037122,0.0
erweitern,0.0,0.00043430274471174514,0.0,0.0
beispiel,0.0,0.0,0.0,0.0
fires,0.0,0.0,0.0,0.00034963287796214136
hoffe,0.0,0.0,0.0003365609034037122,0.0
ihm,0.00010701670226338509,0.00021715137235587257,0.0,0.0
comment,0.0,0.00043430274471174514,0.0,0.0
experten,0.0,0.0,0.0003365609034037122,0.0
plot,0.0,0.0,0.0,0.0013985315118485654
wichtig,0.0,0.0,0.0,0.0
word,0.0,0.0,0.0,0.0
verlaufsprotokolle,0.00021403340452677018,0.0,0.0,0.0
rede,0.0,0.0,0.0006731218068074244,0.0
dies,0.0,0.0,0.0005048413551055683,0.00017481643898107068
geld,0.00010701670226338509,0.00021715137235587257,0.0,0.0
design,0.0,0.0,0.0003365609034037122,0.0
durchklicken,0.0,0.0,0.0,0.00034963287796214136
dynamisch,0.0,0.0,0.0006731218068074244,0.0
größten,0.0,0.00043430274471174514,0.0,0.0
kriegt,0.00021403340452677018,0.0,0.0005048413551055683,0.0
häufiger,0.0,0.0,0.0001682804517018561,0.0005244493169432121
allgemein,0.00010701670226338509,0.0,0.0,0.00017481643898107068
zusammen,0.0013912171294240062,0.00021715137235587257,0.0,0.0
nichts,0.0,0.0,0.0,0.0
hochladen,0.0,0.0,0.0,0.00034963287796214136
garantiert,0.00021403340452677018,0.0,0.0,0.0
gleichen,0.0,0.0,0.0005048413551055683,0.00017481643898107068
anwendung,0.001070167022633851,0.0,0.0,0.0
monologe,0.00021403340452677018,0.0,0.0,0.0
angeschaut,0.0,0.0,0.0001682804517018561,0.00017481643898107068
schauen,0.0003210501067901553,0.0,0.0003365609034037122,0.0
besonders,0.0,0.0,0.0003365609034037122,0.0
steht,0.00026649566693078355,9.012596254755038e-05,6.98426978518526e-05,0.0
maxi,0.0,0.0,0.0003365609034037122,0.0
waren,0.0006421002135803106,0.0,0.0,0.0
reines,0.00021403340452677018,0.0,0.0,0.0
tailing,0.0,0.00043430274471174514,0.0,0.0
hinterlegst,0.0,0.0,0.0003365609034037122,0.0
tasten,0.0,0.0,0.0,0.00034963287796214136
technisch,4.441594448846393e-05,0.00027037788764265114,0.0,7.255537766753616e-05
bei,0.0,0.0,0.0,0.0
einzige,0.00010701670226338509,0.0,0.0003365609034037122,0.0
lüge,0.0,0.0,0.0003365609034037122,0.0
infiziert,0.0,0.0,0.0,0.00034963287796214136
kümmern,0.00021403340452677018,0.0,0.0,0.0
fracking,0.0,0.0,0.0010096827102111367,0.0
führt,0.00021403340452677018,0.0,0.0,0.0
sogar,4.441594448846393e-05,0.0,6.98426978518526e-05,0.00014511075533507232
verschieben,0.00010701670226338509,0.00021715137235587257,0.0,0.0
beschriftung,0.0,0.0,0.0,0.00034963287796214136
kopf,0.00010701670226338509,0.00021715137235587257,0.0,0.0
experte,0.0,0.00043430274471174514,0.0,0.0
bestimmen,0.0,0.0,0.0003365609034037122,0.0
transparent,0.0,0.0,0.0,0.00034963287796214136
to,0.0003210501067901553,0.00043430274471174514,0.0,0.0
wolltet,0.0,0.0,0.0,0.00034963287796214136
teilweise,0.0,0.0,0.0003365609034037122,0.0
sinne,0.00021403340452677018,0.0,0.0,0.0
kombinieren,0.0,0.0,0.0003365609034037122,0.0
spüren,0.0,0.00043430274471174514,0.0,0.0
exakte,0.00010701670226338509,0.00021715137235587257,0.0,0.0
gesamte,0.0,0.00043430274471174514,0.0,0.00034963287796214136
seine,0.00013324783346539178,9.012596254755038e-05,6.98426978518526e-05,0.0
misch,0.00021403340452677018,0.0,0.0,0.0
yeah,0.00021403340452677018,0.0,0.0,0.0
wollte,0.0003210501067901553,0.0,0.0003365609034037122,0.0
muss,0.0,0.0,0.0,0.0
unterschiedlich,0.0,0.0,0.0,0.0006992657559242827
news,0.0006421002135803106,0.0,0.0,0.0
vieles,0.00042806680905354037,0.0,0.0,0.0
sage,0.00021403340452677018,0.00043430274471174514,0.0,0.0
action,0.0006421002135803106,0.0,0.0,0.0
frage,0.0,0.0,0.0,0.0
sentimentanalyse,0.00021403340452677018,0.0,0.0,0.0
abhängig,0.0,0.0,0.0003365609034037122,0.00034963287796214136
zieht,0.0,0.0,0.0003365609034037122,0.0
lass,4.441594448846393e-05,0.00018025192509510076,0.0001396853957037052,0.0
fürn,0.00021403340452677018,0.0,0.0,0.0
abläuft,0.00021403340452677018,0.0,0.0,0.0
grob,0.0006421002135803106,0.0,0.0,0.0
gehst,4.441594448846393e-05,9.012596254755038e-05,0.0,7.255537766753616e-05
sicher,0.0,0.0,0.0,0.0
gerne,0.0001776637779538557,0.00018025192509510076,0.0001396853957037052,0.0
eigene,0.0,0.0,0.0,0.00034963287796214136
senf,0.0,0.0,0.0003365609034037122,0.0
produktiv,0.00021403340452677018,0.0,0.0,0.0
a,0.0003210501067901553,0.0,0.0001682804517018561,0.0
grad,8.883188897692785e-05,0.0,6.98426978518526e-05,7.255537766753616e-05
abnehmend,0.0,0.0,0.0,0.00034963287796214136
grobe,0.00010701670226338509,0.0,0.0,0.00017481643898107068
sagen,0.0,0.0,0.0,0.0
dorn,0.0,0.0,0.0003365609034037122,0.0
3,0.0,0.0,0.0,0.0
einfällt,0.00021403340452677018,0.0,0.0,0.0
interpolierte,0.0,0.0,0.0,0.00034963287796214136
entscheide,0.00042806680905354037,0.0,0.0,0.0
stunden,0.00042806680905354037,0.00043430274471174514,0.0,0.0
ablauf,0.0,0.0,0.0003365609034037122,0.0
stichwörtern,0.00021403340452677018,0.0,0.0,0.0
auslöst,0.0,0.0,0.0,0.00034963287796214136
menschen,0.0,0.00043430274471174514,0.0,0.0
selber,0.0,0.0,0.0,0.0
mut,0.0,0.0,0.0,0.00034963287796214136
zu,0.0,0.0,0.0,0.0
genug,0.0,0.0,0.0003365609034037122,0.0
zwischendurch,0.0,0.00043430274471174514,0.0,0.0
rudimentäre,0.0,0.00043430274471174514,0.0,0.0
zweidimensionale,0.0,0.0,0.0,0.00034963287796214136
mail,0.00021403340452677018,0.00021715137235587257,0.0,0.0
normalen,0.00042806680905354037,0.0,0.0,0.0
jedem,0.0,0.0,0.0,0.00034963287796214136
machen,0.0,0.0,0.0,0.0
erstelle,0.0,0.0,0.0,0.00034963287796214136
schlechter,0.0,0.00043430274471174514,0.0,0.0
richtung,0.00013324783346539178,0.00018025192509510076,0.0001396853957037052,0.0
bird,0.00021403340452677018,0.0,0.0,0.0
kommentar,0.00021403340452677018,0.0,0.0,0.0
angesprochen,0.00021403340452677018,0.0,0.0001682804517018561,0.0
schlechte,0.0,0.0,0.0,0.00034963287796214136
der,0.0,0.0,0.0,0.0
stattfindet,0.00021403340452677018,0.0,0.0,0.0
person,0.0014982338316873913,0.0,0.0,0.0
halt,0.0,0.0,0.0,0.0
interessant,0.0,0.00043430274471174514,0.0,0.0
extrem,0.00021403340452677018,0.0,0.0003365609034037122,0.0
positionierung,0.0,0.0,0.0,0.0010488986338864242
effizient,0.0,0.0,0.0,0.00034963287796214136
alle,0.0,0.0,0.0,0.0
angezeigt,0.0,0.00021715137235587257,0.0003365609034037122,0.0
intersky,0.0,0.0,0.0,0.00034963287796214136
notiz,0.0,0.00043430274471174514,0.0,0.0
nur,0.0,0.0,0.0,0.0
länge,0.00021403340452677018,0.0,0.0,0.0
vorhergehenden,0.0,0.0,0.0,0.00034963287796214136
effekt,0.00010701670226338509,0.0,0.0,0.00017481643898107068
beschäftigt,0.00021403340452677018,0.0,0.0,0.0
verfeinern,0.0,0.0,0.0,0.00034963287796214136
relevanz,0.0,0.0,0.0003365609034037122,0.0
stimmig,0.0,0.0,0.0003365609034037122,0.0
nachgeschaut,0.00021403340452677018,0.0,0.0,0.0
explodieren,0.00021403340452677018,0.0,0.0,0.0
auftauchte,0.00021403340452677018,0.0,0.0,0.0
dritten,0.0,0.0,0.0,0.00034963287796214136
geschwindigkeit,0.00021403340452677018,0.0,0.0,0.0
fassung,0.002140334045267702,0.0,0.0,0.0
minimaler,0.00021403340452677018,0.0,0.0,0.0
soetwas,0.00021403340452677018,0.0,0.0,0.0
andi,0.00021403340452677018,0.0,0.0,0.0
projekt,0.00021403340452677018,0.0,0.0,0.0
button,0.0,0.0,0.0010096827102111367,0.0
mai,0.0,0.0,0.0003365609034037122,0.0
ideensammlung,0.0,0.0,0.0003365609034037122,0.0
abnehmen,0.0,0.0,0.0003365609034037122,0.0
tut,0.0,0.0008686054894234903,0.0,0.0
hurricane,0.0,0.0,0.0,0.00034963287796214136
vormittags,0.0,0.0,0.0,0.00034963287796214136
letzten,0.0,0.0,0.0,0.0
schwarzer,0.0,0.0,0.0003365609034037122,0.0
hand,0.0,0.0,0.0006731218068074244,0.0
20,0.0,0.0,0.0005048413551055683,0.00034963287796214136
richtungen,0.0,0.0,0.0,0.0
willst,0.0,0.0,0.0006731218068074244,0.0
koordinaten,0.0,0.0,0.0,0.0013985315118485654
extrahiert,0.00010701670226338509,0.0,0.0,0.00017481643898107068
uhr,0.0,0.0017372109788469806,0.0,0.0
fragen,0.00010701670226338509,0.0,0.0,0.00017481643898107068
speziellem,0.0,0.0,0.0003365609034037122,0.0
diktiert,0.0,0.0,0.0,0.00034963287796214136
wichtiger,0.00010701670226338509,0.0,0.0003365609034037122,0.0
vordefiniert,0.0,0.0,0.0003365609034037122,0.0
spezifisch,0.0,0.0,0.0,0.0013985315118485654
präsentiert,0.0,0.0,0.0003365609034037122,0.0
schöne,0.0,0.0,0.0006731218068074244,0.0
maximal,0.00021403340452677018,0.0,0.0,0.0
setting,0.0004885753893731032,0.00018025192509510076,0.0,7.255537766753616e-05
beziehungsweise,0.0,0.00021715137235587257,0.0,0.00017481643898107068
sorry,0.0005350835113169255,0.0,0.0,0.00017481643898107068
art,0.0006421002135803106,0.0,0.0,0.0
starte,0.0,0.0,0.0003365609034037122,0.0
anwendungen,0.0008561336181070807,0.0,0.0,0.0
fast,0.00021403340452677018,0.0,0.0,0.0
änderte,0.0,0.0,0.0,0.00034963287796214136
anderen,0.0,0.0,0.0,0.0
glatt,0.0,0.0,0.0,0.00034963287796214136
somit,0.0,0.0,0.0003365609034037122,0.0
verschiedenen,0.0003210501067901553,0.0,0.0,0.00017481643898107068
fiel,0.0,0.0,0.0003365609034037122,0.0
erzähl,0.00021403340452677018,0.0,0.0,0.0
ball,0.0,0.0,0.0003365609034037122,0.0
verlaufsprotokoll,0.00010701670226338509,0.00021715137235587257,0.0,0.0
konzept,0.00021403340452677018,0.0,0.0,0.00017481643898107068
heißen,0.0,0.0,0.0,0.00034963287796214136
drin,0.0,0.0,0.0,0.0
ersten,0.0,0.0,0.0,0.0
punkt,0.0005350835113169255,0.00021715137235587257,0.0,0.0
fließend,0.0,0.0,0.0,0.00034963287796214136
worauf,0.00010701670226338509,0.00021715137235587257,0.0,0.0
data,0.0,0.0,0.0,0.00034963287796214136
vorwissen,0.00042806680905354037,0.0,0.0,0.0
gruppe,0.00042806680905354037,0.0,0.0,0.0
lang,0.0001776637779538557,9.012596254755038e-05,0.0,0.00014511075533507232
denk,0.0,0.0,0.0,0.0
bin,0.00042806680905354037,0.0,0.001682804517018561,0.0
warteposition,0.00021403340452677018,0.0,0.0,0.0
kauf,0.0,0.0,0.0,0.00034963287796214136
diesmal,0.00021403340452677018,0.0,0.0,0.0
physisch,0.00021403340452677018,0.0,0.0,0.0
ort,0.0,0.0,0.0001682804517018561,0.00017481643898107068
blöd,0.0,0.0,0.0003365609034037122,0.0
bild,4.441594448846393e-05,0.0,0.0002095280935555578,7.255537766753616e-05
klappt,0.0,0.0,0.0003365609034037122,0.0
funktionieren,0.0,0.00021715137235587257,0.0,0.00034963287796214136
erlangen,0.0,0.0,0.0,0.00034963287796214136
steam,0.00021403340452677018,0.0,0.0,0.0
einzel,0.0,0.0,0.0003365609034037122,0.0
modifizieren,0.0,0.0,0.0,0.00034963287796214136
mehrere,8.883188897692785e-05,0.00018025192509510076,0.0,7.255537766753616e-05
logik,0.0,0.0,0.0003365609034037122,0.0
etwas,0.0,0.0,0.0,0.0
definitiv,0.0,0.0,0.0,0.00034963287796214136
gehört,0.00021403340452677018,0.0,0.0,0.0
bildes,0.0,0.0,0.0003365609034037122,0.0
arbeitsplätze,0.0,0.0,0.0003365609034037122,0.0
insgesamt,0.0,0.0,0.0006731218068074244,0.0
basi,0.0,0.0,0.0,0.00034963287796214136
ob,0.0,0.0,0.0,0.0
wollen,0.0006421002135803106,0.0006514541170676177,0.0,0.0
deine,0.0,0.0,0.0,0.00034963287796214136
bewegung,0.0,0.0,0.0,0.00034963287796214136
geholfen,0.0,0.00043430274471174514,0.0,0.0
sagst,0.0,0.0,0.0,0.0
nichtteilnehmer,0.00042806680905354037,0.0,0.0,0.0
please,0.00021403340452677018,0.0,0.0,0.0
diagramme,0.0,0.0,0.0,0.00034963287796214136
nochmal,0.0009771507787462064,0.0,6.98426978518526e-05,0.00036277688833768074
verwendet,0.0,0.0,0.0,0.00034963287796214136
zeitleiste,0.0,0.0,0.0003365609034037122,0.0
tracking,0.0,0.0,0.0003365609034037122,0.0
aufhübschen,0.0,0.0,0.0,0.00034963287796214136
gings,0.00010701670226338509,0.0,0.0001682804517018561,0.0
1011,0.0,0.00043430274471174514,0.0,0.0
gekennzeichnet,0.0,0.00043430274471174514,0.0,0.0
mitbringen,0.00021403340452677018,0.0,0.0,0.0
komprimiert,0.00021403340452677018,0.0,0.0,0.0
raus,0.0,0.0,0.0,0.0
fach,0.0,0.0,0.0003365609034037122,0.0
karies,0.0,0.0,0.0003365609034037122,0.0
endet,0.00021403340452677018,0.0,0.0,0.0
meine,0.0003553275559077114,0.00027037788764265114,0.000349213489259263,0.0
eins,0.0,0.0,0.0001682804517018561,0.00017481643898107068
später,0.0,0.0,0.0,0.0
eingibt,0.0,0.0,0.0003365609034037122,0.0
eintragen,0.0,0.0,0.0003365609034037122,0.0
benutze,0.00021403340452677018,0.0,0.0,0.0
segmente,0.0,0.0,0.0001682804517018561,0.00017481643898107068
wiederschauen,0.00021403340452677018,0.0,0.0,0.0
seite,0.0,0.0006514541170676177,0.0,0.0010488986338864242
kippen,0.0,0.00043430274471174514,0.0,0.0
welt,0.0,0.0,0.0003365609034037122,0.0
richten,0.0,0.0,0.0,0.00034963287796214136
tiefe,0.0,0.00021715137235587257,0.0,0.00034963287796214136
okay,0.0,0.0,0.0,0.0
nachdem,0.00021403340452677018,0.0,0.0003365609034037122,0.0
abgelegt,0.00042806680905354037,0.0,0.0,0.0
erfasst,0.00021403340452677018,0.0,0.0,0.0
relativ,0.0,0.0,0.0,0.0
einräumen,0.0,0.0,0.0,0.00034963287796214136
ablaufen,0.0,0.0,0.0003365609034037122,0.00017481643898107068
bedeutung,0.0,0.0,0.0001682804517018561,0.001748164389810707
way,0.0,0.00043430274471174514,0.0,0.0
nachhinein,0.00021403340452677018,0.0,0.0,0.0
zumindest,0.0,0.00021715137235587257,0.0001682804517018561,0.0
bis,0.0,0.0,0.0,0.0
textabschnitt,0.0,0.0,0.0,0.00034963287796214136
bewegen,0.0,0.0,0.0,0.00034963287796214136
speziell,0.0,0.0,0.0001682804517018561,0.00017481643898107068
hättet,0.0,0.00021715137235587257,0.0001682804517018561,0.0
filmschaffenden,0.00021403340452677018,0.0,0.0,0.0
rundherum,0.0,0.00043430274471174514,0.0,0.0
freitags,0.0,0.0008686054894234903,0.0,0.0
anfangen,0.00010701670226338509,0.0,0.0,0.00017481643898107068
hermanns,0.0,0.0,0.0003365609034037122,0.0
oben,0.0,0.0,0.0,0.0
